brand,product,price,standard drinks,price per sd
Loosen Barry,Wolta  Wolta Riesling,114.99,7.4,15.54
Loosen Barry,Wolta  Wolta Riesling,327.9,22.2,14.77
St Stephan's Crown,5 Puttonyos Tokaji Aszu 500mL,50.29,5.1,9.86
St Stephan's Crown,5 Puttonyos Tokaji Aszu 500mL,286.8,30.6,9.37
St Stephan's Crown,3 Puttonyos Tokaji Aszu 500mL,32.99,6.5,5.08
St Stephan's Crown,3 Puttonyos Tokaji Aszu 500mL,188.1,39.0,4.82
Krug,Vintage,714.99,7.1,100.7
Krug,Vintage,4.0,42.6,0.09
Bridge Road Brewers,Beechy XPA Cans 355mL,56.99,19.2,2.97
Bridge Road Brewers,Beechy XPA Cans 355mL,18.99,4.8,3.96
Shaw & Smith,Sauvignon Blanc,32.95,7.1,4.64
Shaw & Smith,Sauvignon Blanc,188.7,42.6,4.43
Redbank,Emily Chardonnay Pinot Noir Brut Cuvee,13.95,6.8,2.05
Redbank,Emily Chardonnay Pinot Noir Brut Cuvee,78.3,40.8,1.92
Gonzalez Byass,Elegante Sweet Cream,22.99,10.1,2.28
Gonzalez Byass,Elegante Sweet Cream,131.4,60.6,2.17
Windfall Estate,Single Handed Western Australian Chardonnay 2018,27.99,8.6,3.25
Windfall Estate,Single Handed Western Australian Chardonnay 2018,159.6,51.6,3.09
Tread Softly,Shiraz,13.99,6.4,2.19
Tread Softly,Shiraz,79.8,38.4,2.08
The Hero,Preservative Free Grenache,14.0,8.0,1.75
The Hero,Preservative Free Grenache,97.2,48.0,2.02
Schild Estate,Edgar Bush Vine Grenache 750mL,39.99,8.6,4.65
Schild Estate,Edgar Bush Vine Grenache 750mL,228.0,51.6,4.42
Yering Station,Reserve Chardonnay 2015,119.99,7.7,15.58
Yering Station,Reserve Chardonnay 2015,684.0,46.2,14.81
Bethany,Blue Quarry Barossa Valley Grenache,44.99,8.8,5.11
Bethany,Blue Quarry Barossa Valley Grenache,256.8,52.8,4.86
Black Hops,California Love West Coast IPA Can 375mL,81.99,33.6,2.44
Black Hops,California Love West Coast IPA Can 375mL,23.99,8.4,2.86
Peter Drayton,Ironbark Hill Semillon Verdelho 2018,8.0,7.1,1.13
Peter Drayton,Ironbark Hill Semillon Verdelho 2018,91.2,85.2,1.07
Penfolds,Yattarna Chardonnay 2015,129.0,7.7,16.75
Sausage Tree,Pure Irish Vodka 700mL,74.99,23.8,3.15
Leconfield,The Coonawarrior Cabernet Sauvignon,16.99,8.6,1.98
Leconfield,The Coonawarrior Cabernet Sauvignon,97.2,51.6,1.88
McGuigan,The Plan Tempranillo,9.99,8.0,1.25
McGuigan,The Plan Tempranillo,57.0,48.0,1.19
Penfolds,Bin 389 Cabernet Shiraz 1965,1.0,8.0,0.12
Small Island,Riesling,37.99,7.6,5.0
Small Island,Riesling,433.2,91.2,4.75
Jilyara,Heath Road Margaret River Chardonnay,31.99,7.4,4.32
Jilyara,Heath Road Margaret River Chardonnay,364.8,88.8,4.11
McGuigan,The Plan GSM,9.4,8.0,1.18
McGuigan,The Plan GSM,53.4,48.0,1.11
Peter Drayton,Wildstreak Verdelho,8.0,7.7,1.04
Peter Drayton,Wildstreak Verdelho,45.6,46.2,0.99
St. Erth,Heathcote Grenache,17.99,8.0,2.25
St. Erth,Heathcote Grenache,102.6,48.0,2.14
Funk Cider,Passion8 375mL,97.99,38.4,2.55
Funk Cider,Passion8 375mL,29.0,9.6,3.02
Seppelt,Infamous Gravedigger Heathcote Shiraz,16.99,8.3,2.05
Seppelt,Infamous Gravedigger Heathcote Shiraz,97.2,49.8,1.95
George Remus,Straight Bourbon Whiskey 750mL,89.99,27.8,3.24
Peter Drayton,Wildstreak Merlot 2018,10.0,8.2,1.22
Peter Drayton,Wildstreak Merlot 2018,114.0,98.4,1.16
Range Life,Pinot Nero 750mL,19.0,8.0,2.38
Range Life,Pinot Nero 750mL,262.8,96.0,2.74
Peter Drayton,Wildstreak Semillon 2019,8.0,6.5,1.23
Peter Drayton,Wildstreak Semillon 2019,91.2,78.0,1.17
Tyrrell's,Vat 1 Semillon,104.99,6.8,15.44
Lindauer,Cuvée Brut,8.95,7.1,1.26
Lindauer,Cuvée Brut,51.0,42.6,1.2
Paxton,McLaren Vale Tempranillo,22.0,8.0,2.75
Paxton,McLaren Vale Tempranillo,142.8,48.0,2.98
Peter Drayton,Anomaly Pinot Grigio 2019,10.0,7.1,1.41
Peter Drayton,Anomaly Pinot Grigio 2019,114.0,85.2,1.34
Range Life,King Valley Sangiovese,19.0,8.0,2.38
Range Life,King Valley Sangiovese,273.6,96.0,2.85
Sunnyvale,Medium White Cask 4L,13.99,30.0,0.47
Sunnyvale,Medium White Cask 4L,27.98,30.0,0.93
Sunnyvale,Fruity Lexia Cask 4L,13.99,30.0,0.47
Sunnyvale,Fruity Lexia Cask 4L,27.98,30.0,0.93
Leconfield,Coonawarra Cabernet Sauvignon,32.99,8.6,3.84
Leconfield,Coonawarra Cabernet Sauvignon,188.4,51.6,3.65
Frescobaldi,Pater Sangiovese,27.99,7.4,3.78
Frescobaldi,Pater Sangiovese,159.6,44.4,3.59
Frescobaldi,Nipozzano Riserva,32.0,7.69,4.16
Frescobaldi,Nipozzano Riserva,211.2,46.14,4.58
Jansz,Tasmania Vintage Cuvée,48.99,7.4,6.62
Jansz,Tasmania Vintage Cuvée,279.6,44.4,6.3
Hollick,Ravenswood Coonawarra Cabernet Sauvignon,71.99,8.58,8.39
Hollick,Ravenswood Coonawarra Cabernet Sauvignon,410.34,51.48,7.97
Peter Drayton,Anomaly Vermentino,25.99,7.7,3.38
Peter Drayton,Anomaly Vermentino,296.4,92.4,3.21
Blue Gables,Sauvignon Blanc,29.99,7.4,4.05
Blue Gables,Sauvignon Blanc,342.0,88.8,3.85
Peter Drayton,Anomaly Pinot Noir Shiraz,35.99,8.0,4.5
Peter Drayton,Anomaly Pinot Noir Shiraz,410.4,96.0,4.27
Thousand Candles,Gathering Field Shiraz,35.99,7.7,4.67
Thousand Candles,Gathering Field Shiraz,410.4,92.4,4.44
Gold Turtle,Premium Red Cabernet Merlot,13.99,8.28,1.69
Gold Turtle,Premium Red Cabernet Merlot,79.8,49.68,1.61
McWilliam's,McW Alternis Nero d'Avola,21.99,8.0,2.75
McWilliam's,McW Alternis Nero d'Avola,125.4,48.0,2.61
Reynella,Basket Pressed McLaren Vale Shiraz,37.88,8.6,4.4
Reynella,Basket Pressed McLaren Vale Shiraz,216.0,51.6,4.19
Geoff Merrill,Jacko's Blend Shiraz,28.99,8.6,3.37
Geoff Merrill,Jacko's Blend Shiraz,331.2,103.2,3.21
Geoff Merrill,Bush Vine Grenache Rosé,23.99,8.6,2.79
Geoff Merrill,Bush Vine Grenache Rosé,273.6,8.6,31.81
Montrose,Mudgee Black Shiraz,29.99,8.28,3.62
Montrose,Mudgee Black Shiraz,171.0,49.68,3.44
Thousand Candles,Gathering Field Red Blend,34.99,7.7,4.54
Thousand Candles,Gathering Field Red Blend,399.6,92.4,4.32
Tread Softly,Pinot Noir 375mL,8.99,3.2,2.81
Tread Softly,Pinot Noir 375mL,102.6,38.4,2.67
Blasta Brewing Co.,Unleash the Beast NEIPA Cans 375mL,87.99,35.2,2.5
Blasta Brewing Co.,Unleash the Beast NEIPA Cans 375mL,27.99,8.8,3.18
Mars,Komagatake Limited Edition Japanese Single Malt Whisky 700mL,269.9,26.5,10.18
Blue Gables,Pinot Gris 750mL,31.99,8.0,4.0
Blue Gables,Pinot Gris 750mL,364.8,96.0,3.8
Shark Point,Mornington Peninsula Shiraz 2018,34.99,8.5,4.12
Shark Point,Mornington Peninsula Shiraz 2018,199.8,51.0,3.92
Berri Estates,Dolce Rosso Cask 5L,22.99,41.0,0.56
Berri Estates,Dolce Rosso Cask 5L,43.8,82.0,0.53
Berri Estates,Dolce Bianco Cask 5L,22.99,35.51,0.65
Berri Estates,Dolce Bianco Cask 5L,43.8,71.02,0.62
Small Island,Rose,34.99,8.0,4.37
Small Island,Rose,433.2,96.0,4.51
James Squire,Nine Tales Amber Ale 345mL,61.99,33.6,1.84
James Squire,Nine Tales Amber Ale 345mL,23.99,8.4,2.86
