pid,brand,product,quantity,price,standard drinks,standard drinks estimate,price per sd
901988,Little Creatures,Rogers Ale Bottle 330ml,24.0,73.99,24.0,23759.29,3.08
901988,Little Creatures,Rogers Ale Bottle 330ml,6.0,24.49,6.0,5939.82,4.08
598591,CBCo Brewing,Pale Ale Can 375mL,4.0,17.0,4.8,5.21,3.54
598591,CBCo Brewing,Pale Ale Can 375mL,16.0,63.99,19.2,20.84,3.33
878524,Shepherd Neame,Double Stout 500mL,1,7.99,16.8,2.05,0.48
878524,Shepherd Neame,Double Stout 500mL,8.0,53.99,134.4,16.42,0.4
89983,Boatrocker,Stout Cans 375mL,4.0,21.99,28.8,7.22,0.76
89983,Boatrocker,Stout Cans 375mL,24.0,103.99,172.8,43.34,0.6
6038271,Eichbaum,Premium Pilsner Cans 500mL,6.0,22.9,11.4,11.37,2.01
6038271,Eichbaum,Premium Pilsner Cans 500mL,24.0,64.99,45.6,45.47,1.43
310996,Balter,Cerveza Bottles 355mL,6.0,22.99,6.6,6.73,3.48
310996,Balter,Cerveza Bottles 355mL,24.0,59.95,26.4,26.9,2.27
460726,Tun,Gold Mid Cans 330mL,30.0,43.9,27.0,25.79,1.63
25500,Coopers,Best Extra Stout Longneck 750mL,1,10.99,3.7,3.73,2.97
25500,Coopers,Best Extra Stout Longneck 750mL,12.0,82.99,44.4,44.76,1.87
773033,Adnams,Ghost Ship Pale Ale Cans 440mL,4.0,15.0,6.4,6.25,2.34
773033,Adnams,Ghost Ship Pale Ale Cans 440mL,24.0,79.99,38.4,37.51,2.08
13470,Carlton Draught,Lager Cans 375mL,6.0,17.95,8.4,8.17,2.14
13470,Carlton Draught,Lager Cans 375mL,24.0,54.95,33.6,32.68,1.64
105097,John Boston,Crisp Lager Bottle 330mL,6.0,16.0,6.6,6.57,2.42
105097,John Boston,Crisp Lager Bottle 330mL,24.0,55.99,26.4,26.26,2.12
6004342,James Squire,Lower Sugar Alcoholic Ginger Beer with Lemon Cans 330mL,6.0,26.0,6.0,6.25,4.33
