pid,brand,product,price,standard drinks,price per sd
6026365,Scape Goat,Crisp Apple Cider Cans 10x330mL,20.99,12.0,1.75
6026365,Scape Goat,Crisp Apple Cider Cans 10x330mL,59.99,36.0,1.67
601563,CBCo Brewing,Bertie Apple Cider Cans 375mL,85.99,33.6,2.56
601563,CBCo Brewing,Bertie Apple Cider Cans 375mL,26.99,8.4,3.21
746009,Somersby,Pear Cider Cans 10x375mL,26.95,13.0,2.07
746009,Somersby,Pear Cider Cans 10x375mL,80.85,39.0,2.07
331438,5 Seeds,Crisp Apple Cider Bottles 345mL,24.99,8.16,3.06
331438,5 Seeds,Crisp Apple Cider Bottles 345mL,64.95,32.64,1.99
6026363,Scape Goat,Crisp Apple Cider Cans 330mL,15.99,7.2,2.22
6026363,Scape Goat,Crisp Apple Cider Cans 330mL,44.0,28.8,1.53
334184,Monteith's,Crushed Apple Cider 330mL,66.99,28.8,2.33
334184,Monteith's,Crushed Apple Cider 330mL,15.49,4.8,3.23
387419,Mountain Goat,Hazy Apple Cider Cans 375mL,25.99,9.0,2.89
387419,Mountain Goat,Hazy Apple Cider Cans 375mL,80.99,36.0,2.25
904904,Kopparberg,Tropical Cider Bottles 500mL,3.0,1.6,1.88
904904,Kopparberg,Tropical Cider Bottles 500mL,84.99,24.0,3.54
226194,Mercury,Hard Blackcurrant Can 375mL,74.0,57.6,1.28
226194,Mercury,Hard Blackcurrant Can 375mL,25.99,14.4,1.8
911699,Little Fat Lamb,Lemonator 8% 10 Pack Cans 375mL,26.0,24.0,1.08
911699,Little Fat Lamb,Lemonator 8% 10 Pack Cans 375mL,73.99,72.0,1.03
293740,Napoleone & Co,Apple Cider Cans 355mL,19.5,7.92,2.46
293740,Napoleone & Co,Apple Cider Cans 355mL,75.99,31.68,2.4
746013,Somersby,Apple Sparkling Cider Cans 10x375mL,23.95,13.3,1.8
746013,Somersby,Apple Sparkling Cider Cans 10x375mL,71.85,39.9,1.8
947193,Somersby,Blackberry Cider Bottles 330mL,22.0,4.0,5.5
947193,Somersby,Blackberry Cider Bottles 330mL,109.99,24.0,4.58
910502,Coldstream Brewery,Rose Cider Cans 375mL,19.99,9.6,2.08
910502,Coldstream Brewery,Rose Cider Cans 375mL,67.99,57.6,1.18
213728,Kelly Brothers,Apple Cider Cans 375mL,21.49,12.6,1.71
213728,Kelly Brothers,Apple Cider Cans 375mL,63.99,50.4,1.27
915237,Little Creatures,Pipsqueak Apple Cider Bottles 330mL,26.99,8.1,3.33
915237,Little Creatures,Pipsqueak Apple Cider Bottles 330mL,84.99,32.4,2.62
910429,Somersby,Super Crisp Cans 10x375mL,28.0,13.0,2.15
910429,Somersby,Super Crisp Cans 10x375mL,85.99,39.0,2.2
907490,Strongbow,Dry Apple Cider Bottles 355mL,17.0,8.4,2.02
907490,Strongbow,Dry Apple Cider Bottles 355mL,58.99,33.6,1.76
561680,Little Fat Lamb,Brewed Ginger Cans 375mL,26.0,24.0,1.08
561680,Little Fat Lamb,Brewed Ginger Cans 375mL,83.99,72.0,1.17
693169,Coldstream Brewery,Apple Cider Cans 375mL,20.0,9.0,2.22
693169,Coldstream Brewery,Apple Cider Cans 375mL,67.99,36.0,1.89
6012981,Zytho Brewing,Hazy Apple Cider 375mL,17.99,9.0,2.0
6012981,Zytho Brewing,Hazy Apple Cider 375mL,47.0,36.0,1.31
676176,Harcourt,Apple Cider Bottles 500mL,95.99,30.0,3.2
676176,Harcourt,Apple Cider Bottles 500mL,8.99,2.0,4.5
817182,Willie Smith's,Organic Apple Cider Cans 355mL,77.99,24.0,3.25
817182,Willie Smith's,Organic Apple Cider Cans 355mL,20.0,6.0,3.33
293869,Napoleone & Co,Pear Cider Cans 355mL,19.5,7.2,2.71
293869,Napoleone & Co,Pear Cider Cans 355mL,75.99,28.8,2.64
297151,Amplys,Hard Apple Cider 6.9% Can 375mL,17.49,8.16,2.14
297151,Amplys,Hard Apple Cider 6.9% Can 375mL,50.0,48.96,1.02
117891,Mercury,Hard Passionfruit Cider Cans 375mL,74.0,57.6,1.28
117891,Mercury,Hard Passionfruit Cider Cans 375mL,25.99,14.4,1.8
654786,Pure Blonde,Crisp Apple Cider Cans 375mL,30.95,12.0,2.58
