pid,brand,product,price,standard drinks,standard drinks estimate,price per sd
850672,Jack Daniel's,Tennessee Whiskey & Cola Bottle 330mL,25.95,5.2,5.21,4.99
850672,Jack Daniel's,Tennessee Whiskey & Cola Bottle 330mL,118.99,31.2,31.26,3.81
466239,Squealing Pig,Tropical Sauvignon Blanc Spritzer Cans 250mL,19.99,3.6,3.55,5.55
466239,Squealing Pig,Tropical Sauvignon Blanc Spritzer Cans 250mL,89.99,21.6,21.32,4.17
6017260,Gravity Seltzer Co.,Lemoncello Hard Soda Cans 330mL,25.49,5.2,5.21,4.9
6017260,Gravity Seltzer Co.,Lemoncello Hard Soda Cans 330mL,83.99,20.8,20.84,4.04
53295,Curatif,Archie Rose Espresso Martini 120mL,45.0,6.0,6.21,7.5
53295,Curatif,Archie Rose Espresso Martini 120mL,279.99,36.0,37.29,7.78
906512,Jack Daniel's,Tennessee Whiskey & Lemonade Cans 375mL,20.3,6.0,5.68,3.38
906512,Jack Daniel's,Tennessee Whiskey & Lemonade Cans 375mL,94.25,36.0,34.1,2.62
6003835,Four Pillars,Gin Punch Cans 330mL,27.99,4.8,5.0,5.83
6003835,Four Pillars,Gin Punch Cans 330mL,139.99,28.8,30.01,4.86
311718,Hard Rated,Cans 375mL,22.95,5.2,5.33,4.41
311718,Hard Rated,Cans 375mL,114.95,31.2,31.97,3.68
171431,Smirnoff,Seltzer Mix Pack 12x250mL,57.0,1.1,0.99,51.82
171431,Smirnoff,Seltzer Mix Pack 12x250mL,185.99,3.3,2.96,56.36
310833,Kirin,Hyoketsu Lemon 10 Pack Cans 330mL,45.95,16.0,15.63,2.87
310833,Kirin,Hyoketsu Lemon 10 Pack Cans 330mL,137.85,48.0,46.89,2.87
165421,Rainbird,Mixed 12 Pack Seltzer 6% Cans 330mL,63.99,19.2,18.76,3.33
165421,Rainbird,Mixed 12 Pack Seltzer 6% Cans 330mL,134.99,38.4,37.51,3.52
6003789,Smirnoff,Crush Raspberry & Lemon 6% Cans 440mL,32.99,8.4,8.34,3.93
6003789,Smirnoff,Crush Raspberry & Lemon 6% Cans 440mL,179.99,50.4,50.02,3.57
6005398,Pals,Vodka Pineapple Lime and Soda Can 330mL,25.49,4.8,4.69,5.31
6005398,Pals,Vodka Pineapple Lime and Soda Can 330mL,57.0,14.4,14.07,3.96
6030690,Tread Softly,Pinot Grigio White Peach Spritzer 330mL,25.99,3.6,3.65,7.22
6030690,Tread Softly,Pinot Grigio White Peach Spritzer 330mL,114.99,21.6,21.88,5.32
752871,Jim Beam,White Label Bourbon & Cola 500mL,9.99,1.9,1.89,5.26
752871,Jim Beam,White Label Bourbon & Cola 500mL,90.99,22.8,22.74,3.99
6025897,Espolon,Lime and Soda Cans 330mL,24.95,4.0,4.69,6.24
6025897,Espolon,Lime and Soda Cans 330mL,130.99,24.0,28.14,5.46
757069,West Coast,Original 250mL,15.0,2.8,66.31,5.36
757069,West Coast,Original 250mL,85.99,16.8,397.88,5.12
901306,Midori,Illusion 275mL,22.95,4.0,3.91,5.74
901306,Midori,Illusion 275mL,119.99,24.0,23.45,5.0
58610,Bombay Sapphire,Gin & Tonic 275mL,26.0,4.8,4.69,5.42
58610,Bombay Sapphire,Gin & Tonic 275mL,165.99,28.8,28.14,5.76
6047465,Kirin,Hyoketsu Lemon 4% 330mL Can,23.99,4.2,4.17,5.71
6047465,Kirin,Hyoketsu Lemon 4% 330mL Can,107.99,25.2,25.01,4.29
174182,Canadian Club,Soda & Lime Cans 375mL,30.0,8.4,8.53,3.57
174182,Canadian Club,Soda & Lime Cans 375mL,99.95,33.6,34.1,2.97
579096,Jameson,Irish Whiskey Smooth Dry & Lime 6.3% Cans 375mL 10 Pack,56.95,19.0,18.65,3.0
579096,Jameson,Irish Whiskey Smooth Dry & Lime 6.3% Cans 375mL 10 Pack,169.99,57.0,55.95,2.98
902105,Jim Beam,White Label Bourbon & Cola Cans 10 Pack 375mL,45.95,14.0,14.21,3.28
902105,Jim Beam,White Label Bourbon & Cola Cans 10 Pack 375mL,135.99,42.0,42.63,3.24
