pid,brand,product,quantity,price,standard drinks,standard drinks estimate,price per sd
6026365,Scape Goat,Crisp Apple Cider Cans 10x330mL,10.0,20.99,12.0,11.72,1.75
6026365,Scape Goat,Crisp Apple Cider Cans 10x330mL,30.0,59.99,36.0,35.17,1.67
601563,CBCo Brewing,Bertie Apple Cider Cans 375mL,24.0,85.99,33.6,32683.23,2.56
601563,CBCo Brewing,Bertie Apple Cider Cans 375mL,6.0,26.99,8.4,8170.81,3.21
746009,Somersby,Pear Cider Cans 10x375mL,10.0,26.95,13.0,13.32,2.07
746009,Somersby,Pear Cider Cans 10x375mL,30.0,80.85,39.0,39.97,2.07
331438,5 Seeds,Crisp Apple Cider Bottles 345mL,6.0,24.99,8.16,196.1,3.06
331438,5 Seeds,Crisp Apple Cider Bottles 345mL,24.0,64.95,32.64,784.4,1.99
6026363,Scape Goat,Crisp Apple Cider Cans 330mL,6.0,15.99,7.2,7.03,2.22
6026363,Scape Goat,Crisp Apple Cider Cans 330mL,24.0,44.0,28.8,28.14,1.53
334184,Monteith's,Crushed Apple Cider 330mL,24.0,66.99,28.8,28136.0,2.33
334184,Monteith's,Crushed Apple Cider 330mL,4.0,15.49,4.8,4689.33,3.23
387419,Mountain Goat,Hazy Apple Cider Cans 375mL,6.0,25.99,9.0,8.88,2.89
387419,Mountain Goat,Hazy Apple Cider Cans 375mL,24.0,80.99,36.0,35.53,2.25
904904,Kopparberg,Tropical Cider Bottles 500mL,1,3.0,1.6,1.58,1.88
904904,Kopparberg,Tropical Cider Bottles 500mL,15.0,84.99,24.0,23.68,3.54
911699,Little Fat Lamb,Lemonator 8% 10 Pack Cans 375mL,10.0,26.0,24.0,23.68,1.08
911699,Little Fat Lamb,Lemonator 8% 10 Pack Cans 375mL,30.0,73.99,72.0,71.05,1.03
293740,Napoleone & Co,Apple Cider Cans 355mL,6.0,19.5,7.92,7.9,2.46
293740,Napoleone & Co,Apple Cider Cans 355mL,24.0,75.99,31.68,31.61,2.4
746013,Somersby,Apple Sparkling Cider Cans 10x375mL,10.0,23.95,13.3,11.72,1.8
746013,Somersby,Apple Sparkling Cider Cans 10x375mL,30.0,71.85,39.9,35.17,1.8
947193,Somersby,Blackberry Cider Bottles 330mL,4.0,22.0,4.0,4.17,5.5
947193,Somersby,Blackberry Cider Bottles 330mL,24.0,109.99,24.0,25.01,4.58
910502,Coldstream Brewery,Rose Cider Cans 375mL,4.0,19.99,9.6,9.47,2.08
910502,Coldstream Brewery,Rose Cider Cans 375mL,24.0,67.99,57.6,56.84,1.18
213728,Kelly Brothers,Apple Cider Cans 375mL,6.0,21.49,12.6,12.43,1.71
213728,Kelly Brothers,Apple Cider Cans 375mL,24.0,63.99,50.4,49.74,1.27
915237,Little Creatures,Pipsqueak Apple Cider Bottles 330mL,6.0,26.99,8.1,8.13,3.33
915237,Little Creatures,Pipsqueak Apple Cider Bottles 330mL,24.0,84.99,32.4,32.51,2.62
910429,Somersby,Super Crisp Cans 10x375mL,10.0,28.0,13.0,13.32,2.15
910429,Somersby,Super Crisp Cans 10x375mL,30.0,85.99,39.0,39.97,2.2
907490,Strongbow,Dry Apple Cider Bottles 355mL,6.0,17.0,8.4,8.41,2.02
907490,Strongbow,Dry Apple Cider Bottles 355mL,24.0,58.99,33.6,33.63,1.76
561680,Little Fat Lamb,Brewed Ginger Cans 375mL,10.0,26.0,24.0,23.68,1.08
561680,Little Fat Lamb,Brewed Ginger Cans 375mL,30.0,83.99,72.0,71.05,1.17
693169,Coldstream Brewery,Apple Cider Cans 375mL,6.0,20.0,9.0,8.88,2.22
693169,Coldstream Brewery,Apple Cider Cans 375mL,24.0,67.99,36.0,35.53,1.89
6012981,Zytho Brewing,Hazy Apple Cider 375mL,6.0,17.99,9.0,8.88,2.0
6012981,Zytho Brewing,Hazy Apple Cider 375mL,24.0,47.0,36.0,35.53,1.31
676176,Harcourt,Apple Cider Bottles 500mL,15.0,95.99,30.0,29604.38,3.2
676176,Harcourt,Apple Cider Bottles 500mL,1,8.99,2.0,1973.62,4.5
817182,Willie Smith's,Organic Apple Cider Cans 355mL,16.0,77.99,24.0,24214.01,3.25
817182,Willie Smith's,Organic Apple Cider Cans 355mL,4.0,20.0,6.0,6053.5,3.33
293869,Napoleone & Co,Pear Cider Cans 355mL,6.0,19.5,7.2,7.57,2.71
293869,Napoleone & Co,Pear Cider Cans 355mL,24.0,75.99,28.8,30.27,2.64
297151,Amplys,Hard Apple Cider 6.9% Can 375mL,4.0,17.49,8.16,8.17,2.14
297151,Amplys,Hard Apple Cider 6.9% Can 375mL,24.0,50.0,48.96,49.02,1.02
117891,Mercury,Hard Passionfruit Cider Cans 375mL,24.0,74.0,57.6,58261.41,1.28
117891,Mercury,Hard Passionfruit Cider Cans 375mL,6.0,25.99,14.4,14565.35,1.8
654786,Pure Blonde,Crisp Apple Cider Cans 375mL,10.0,30.95,12.0,12.43,2.58
654786,Pure Blonde,Crisp Apple Cider Cans 375mL,30.0,92.85,36.0,37.3,2.58
962365,Pure Blonde,Crisp Apple Cider Bottle  330mL,6.0,21.0,6.6,6.57,3.18
962365,Pure Blonde,Crisp Apple Cider Bottle  330mL,24.0,73.99,26.4,26.26,2.8
156822,Amplys,6.9% Hard Apple Cider Cans 10x375mL,10.0,22.0,20.0,20.43,1.1
156822,Amplys,6.9% Hard Apple Cider Cans 10x375mL,30.0,69.99,60.0,61.28,1.17
464700,Little Fat Lamb,Mixed 10 Pack Cans 375mL,10.0,32.99,24.0,23.68,1.37
907493,Strongbow,Original Apple Cider Bottles 355mL,6.0,16.95,8.4,8.41,2.02
907493,Strongbow,Original Apple Cider Bottles 355mL,24.0,51.95,33.6,33.63,1.55
629635,Kopparberg,Hard Pear Cider 7% Cans 440mL,6.0,18.0,14.4,14.59,1.25
629635,Kopparberg,Hard Pear Cider 7% Cans 440mL,24.0,69.99,57.6,58.36,1.22
107944,Kopparberg,Rosé Cider Bottles 330mL,6.0,18.0,13.2,12.97,1.36
107944,Kopparberg,Rosé Cider Bottles 330mL,24.0,64.99,52.8,51.9,1.23
51528,Mercury,Hard Cider Crushed Raspberry 375mL,6.0,25.95,14.4,14.57,1.8
51528,Mercury,Hard Cider Crushed Raspberry 375mL,24.0,74.0,57.6,58.26,1.28
771596,The Hills Cider Company,Apple Cider 330mL,6.0,21.59,7.8,7.82,2.77
771596,The Hills Cider Company,Apple Cider 330mL,24.0,72.99,31.2,31.26,2.34
62455,Little Fat Lamb,Guava Can 10 Pack 375mL,10.0,26.0,24.0,23.68,1.08
62455,Little Fat Lamb,Guava Can 10 Pack 375mL,30.0,83.99,72.0,71.05,1.17
661797,Rekorderlig,Premium Strawberry & Lime Low Sugar 330mL,4.0,20.0,4.0,4.17,5.0
661797,Rekorderlig,Premium Strawberry & Lime Low Sugar 330mL,24.0,100.99,24.0,25.01,4.21
693680,Alpine Cider,Pink Lady Dry Bottles 330mL,4.0,23.99,6.0,6.15,4.0
693680,Alpine Cider,Pink Lady Dry Bottles 330mL,24.0,102.99,36.0,36.89,2.86
798600,James Squire,Orchard Crush Apple Cider Bottles 345mL,6.0,21.99,7.8,7.84,2.82
798600,James Squire,Orchard Crush Apple Cider Bottles 345mL,24.0,82.99,31.2,31.38,2.66
626481,James Squire,Orchard Crush Apple Cider Cans 330mL 10 Pack,30.0,88.99,33.0,37514.66,2.7
626481,James Squire,Orchard Crush Apple Cider Cans 330mL 10 Pack,10.0,35.99,11.0,12504.89,3.27
911757,Mercury,Hard Cider 10 percent Cans 250mL,4.0,15.0,8.0,7.89,1.88
911757,Mercury,Hard Cider 10 percent Cans 250mL,24.0,93.99,48.0,47.37,1.96
464651,Strongbow,Lower Carb Apple Cider Cans 10 pack 375mL,1,21.95,1.5,1.48,14.63
464651,Strongbow,Lower Carb Apple Cider Cans 10 pack 375mL,3.0,65.85,4.5,4.44,14.63
338700,Strongbow,Lower Carb Cider Bottles 355mL,6.0,16.95,8.4,8.41,2.02
338700,Strongbow,Lower Carb Cider Bottles 355mL,24.0,51.95,33.6,33.63,1.55
964469,Rekorderlig,Premium Strawberry & Lime Cider 330mL,4.0,20.0,4.0,4.17,5.0
964469,Rekorderlig,Premium Strawberry & Lime Cider 330mL,24.0,100.99,24.0,25.01,4.21
366104,Westons Cider,Old Rosie Cloudy Cider 2L,1,20.99,10.8,11.53,1.94
366104,Westons Cider,Old Rosie Cloudy Cider 2L,3.0,58.99,32.4,34.58,1.82
480479,Three Oaks Cider Co.,Crushed Apple Cider Cans 10 Pack 375mL,10.0,25.0,15.0,14802.19,1.67
480479,Three Oaks Cider Co.,Crushed Apple Cider Cans 10 Pack 375mL,30.0,82.99,45.0,44406.56,1.84
6004783,Strongbow,Hard Cider Zesty Lemon Cans 375mL,4.0,19.49,9.6,9.71,2.03
6004783,Strongbow,Hard Cider Zesty Lemon Cans 375mL,16.0,57.99,38.4,38.84,1.51
867458,Golden Axe,Crisp Apple Cider Cans 375mL,6.0,22.49,9.24,9.24,2.43
867458,Golden Axe,Crisp Apple Cider Cans 375mL,24.0,70.99,36.96,36.95,1.92
771597,The Hills Cider Company,Pear Cider Bottles 330mL,6.0,21.99,7.8,7.82,2.82
771597,The Hills Cider Company,Pear Cider Bottles 330mL,24.0,72.99,31.2,31.26,2.34
486439,Big Things,Shandy Cans 375mL,6.0,8.0,4.8,4.97,1.67
486439,Big Things,Shandy Cans 375mL,24.0,46.99,19.2,19.89,2.45
6028995,Kopparberg,Fruitz Hard Lemon 8.3% 375mL,4.0,17.99,10.0,9.83,1.8
6028995,Kopparberg,Fruitz Hard Lemon 8.3% 375mL,24.0,89.0,60.0,58.97,1.48
65506,Strongbow,Hard Cider with Dark Fruit Cans 375mL,4.0,19.99,9.6,9.71,2.08
65506,Strongbow,Hard Cider with Dark Fruit Cans 375mL,16.0,58.99,38.4,38.84,1.54
471008,Thatchers,Gold Apple Cider Can 375mL,4.0,18.99,5.6,5.68,3.39
471008,Thatchers,Gold Apple Cider Can 375mL,24.0,77.99,33.6,34.1,2.32
120842,Kopparberg,Hard Apple Cider 10 Pack Cans 330mL,10.0,26.99,18.0,18.24,1.5
120842,Kopparberg,Hard Apple Cider 10 Pack Cans 330mL,20.0,48.99,36.0,36.47,1.36
370298,Rekorderlig,Premium Wild Berries Cider Bottles 500mL,1,9.99,1.6,1.58,6.24
370298,Rekorderlig,Premium Wild Berries Cider Bottles 500mL,15.0,96.99,24.0,23.68,4.04
768384,Somersby,Pear Cider Bottles 330mL,6.0,18.95,7.2,7.03,2.63
768384,Somersby,Pear Cider Bottles 330mL,24.0,59.95,28.8,28.14,2.08
911687,Better Cider,Super Crisp Apple Cider Cans 355mL,6.0,21.99,6.6,7.06,3.33
911687,Better Cider,Super Crisp Apple Cider Cans 355mL,24.0,56.0,26.4,28.25,2.12
655127,Little Fat Lamb,Brewed Strawberry & Lime Cans 10 Pack 375mL,10.0,26.0,24.0,23683.5,1.08
655127,Little Fat Lamb,Brewed Strawberry & Lime Cans 10 Pack 375mL,30.0,79.99,72.0,71050.5,1.11
365443,Rekorderlig,Premium Strawberry & Lime Cider 500mL,1,9.99,1.6,1.58,6.24
365443,Rekorderlig,Premium Strawberry & Lime Cider 500mL,15.0,96.99,24.0,23.68,4.04
708460,Kopparberg,Strawberry & Lime Cider Cans 330mL,6.0,26.99,6.0,6252.44,4.5
708460,Kopparberg,Strawberry & Lime Cider Cans 330mL,24.0,87.99,24.0,25009.78,3.67
465190,Desperados,Original Bottles 330mL,6.0,27.99,9.0,9.22,3.11
465190,Desperados,Original Bottles 330mL,24.0,91.99,36.0,36.89,2.56
337838,Bulmers,Original Cider Bottles 330mL,4.0,18.99,19.2,4.9,0.99
